Date : 2023-12-16 10:18:37
Directory : /Users/kamrantailor/Documents/Programing/porkPie
Total : 90 files,  4795 codes, 241 comments, 585 blanks, all 5621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         47 |      1,352 |        100 |        119 |      1,571 |
| JSON       |          2 |      1,318 |          0 |          2 |      1,320 |
| JavaScript |         26 |      1,085 |         89 |        248 |      1,422 |
| CSS        |         14 |      1,037 |         52 |        213 |      1,302 |
| Markdown   |          1 |          3 |          0 |          3 |          6 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         90 |      4,795 |        241 |        585 |      5,621 |
| . (Files)                                                                                                              |          4 |      1,346 |          6 |         13 |      1,365 |
| apiRequests                                                                                                            |          7 |        261 |         26 |         69 |        356 |
| apiRequests (Files)                                                                                                    |          4 |        139 |         13 |         41 |        193 |
| apiRequests/fortnite                                                                                                   |          2 |         86 |         10 |         20 |        116 |
| apiRequests/tfl                                                                                                        |          1 |         36 |          3 |          8 |         47 |
| public                                                                                                                 |         79 |      3,188 |        209 |        503 |      3,900 |
| public (Files)                                                                                                         |          7 |        558 |         25 |        114 |        697 |
| public/admin                                                                                                           |          9 |        256 |         13 |         37 |        306 |
| public/admin (Files)                                                                                                   |          2 |         95 |          3 |         11 |        109 |
| public/admin/addnewsstorys                                                                                             |          1 |         14 |          2 |          1 |         17 |
| public/admin/editclientpins                                                                                            |          1 |         14 |          2 |          1 |         17 |
| public/admin/editupdates                                                                                               |          1 |         14 |          2 |          1 |         17 |
| public/admin/updatedependencies                                                                                        |          1 |         14 |          2 |          1 |         17 |
| public/admin/userpermisions                                                                                            |          3 |        105 |          2 |         22 |        129 |
| public/dashboard                                                                                                       |          3 |        153 |          5 |         26 |        184 |
| public/efc                                                                                                             |          5 |        197 |          8 |         14 |        219 |
| public/efc/privacyPolicy                                                                                               |          1 |         42 |          2 |          9 |         53 |
| public/efc/sitemap                                                                                                     |          1 |         82 |          2 |          2 |         86 |
| public/efc/sources                                                                                                     |          1 |         58 |          2 |          1 |         61 |
| public/efc/termsOfUse                                                                                                  |          1 |         15 |          2 |          1 |         18 |
| public/efc/versionHistory                                                                                              |          1 |          0 |          0 |          1 |          1 |
| public/home                                                                                                            |          4 |        416 |         26 |         80 |        522 |
| public/locked                                                                                                          |          1 |         16 |          2 |          1 |         19 |
| public/login                                                                                                           |          3 |        201 |          9 |         41 |        251 |
| public/privilagedContent                                                                                               |         46 |      1,377 |        119 |        189 |      1,685 |
| public/privilagedContent/avation                                                                                       |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/coded-items                                                                                   |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/gaming                                                                                        |         25 |        993 |         83 |        150 |      1,226 |
| public/privilagedContent/gaming (Files)                                                                                |          1 |         29 |          2 |          1 |         32 |
| public/privilagedContent/gaming/fortnite                                                                               |         23 |        950 |         79 |        148 |      1,177 |
| public/privilagedContent/gaming/fortnite (Files)                                                                       |          1 |         58 |          2 |          3 |         63 |
| public/privilagedContent/gaming/fortnite/aeskeys                                                                       |          2 |         68 |          3 |          9 |         80 |
| public/privilagedContent/gaming/fortnite/cosmetics                                                                     |          4 |        199 |         26 |         45 |        270 |
| public/privilagedContent/gaming/fortnite/cosmetics (Files)                                                             |          2 |         82 |         20 |         22 |        124 |
| public/privilagedContent/gaming/fortnite/cosmetics/more                                                                |          2 |        117 |          6 |         23 |        146 |
| public/privilagedContent/gaming/fortnite/creatorcodes                                                                  |          1 |         14 |          2 |          1 |         17 |
| public/privilagedContent/gaming/fortnite/itemshop                                                                      |          7 |        264 |         27 |         42 |        333 |
| public/privilagedContent/gaming/fortnite/itemshop (Files)                                                              |          4 |        134 |         21 |         30 |        185 |
| public/privilagedContent/gaming/fortnite/itemshop/extra                                                                |          3 |        130 |          6 |         12 |        148 |
| public/privilagedContent/gaming/fortnite/news                                                                          |          2 |         77 |          2 |         11 |         90 |
| public/privilagedContent/gaming/fortnite/playlists                                                                     |          2 |         42 |          4 |          5 |         51 |
